구분,URI,Method,기능,명칭,설명,파라미터,비고
유저 관련 기능,/users,GET,모든 회원 정보,getUserList,모든 회원 정보 반환,,
,/users,POST,회원가입,regist,회원가입,"id,pwd, name, email",
,/users/:user_no,GET,단일 회원 정보,getUserByNo,단일 회원 정보 반환,,
,/users/:user_no,PUT/PATCH,회원 수정,modifyUserInfo,회원 정보 수정,"password, name, nickname, porfile_image, email",
,/users/:user_no,DELETE,회원 삭제,deleteUser,회원 정보 삭제,,
,/users/login,POST,로그인,login,로그인,"id, pwd",
,/users/id,POST,ID 찾기,findId,아이디 찾기,"name, email",
,/users/password,POST,Password 찾기,findPassword,비밀번호 찾기,"name, email, id",
여행지 관련 기능,/maps/:content_id,GET,단일 여행지정보,getAttractionById,단일 여행지정보 반환,content_id,
,/maps/search,GET,"모든 시,도 목록",getSidoList,"모든 시, 도 정보 리스트 반환",,
,/maps/search,POST,여행지 이름 검색,searchKeyword,"검색 타입에 따라 keyword 검색(이름, 여행지종류)","keyword(검색 텍스트), search_type( 1:title, 2:content_type )",
,/maps/search/:sido_code,GET,"특정 시,도의 구, 군 목록",getGugunListBySidoCode,"특정 시,도 코드값에 대한 구,군 목록 반환",sido_code,
,/maps/search/:sido_code/:gugun_code,GET,특정 위치의 어트랙션 목록,getAttractionListBySidoGugunCode,"특정 시,도, 구,군 코드에 위치한 여행지목록 반환","sido_code, gugun_code",
게시판 종류,/board,GET,게시판 종류 확인,getBoardList,게시판 종류 반환,,
Q&A,/questions,GET,질문 게시글 목록 반환,getQuestionList,질문게시판 목록 반환,,
,/questions,POST,질문 게시글 등록,postQuestion,질문글 등록,"board_id, user_no, title, content, secret",
,/questions/:question-id,GET,질문 게시글 상세 조회,getQuestionById,단일 질문 게시글 조회,,
,/questions/:question-id,PUT/PATCH,질문글 수정,modifyQuestion,질문 게시글 수정,"title, content, secret",
,/questions/:question-id,DELETE,질문글 삭제,deleteQuestion,질문 게시글 삭제,,
,/answers/:question-id,GET,답변글 조회,getAnswerByQuestionId,질문 게시글 id를 통해 답변 게시글 조회,,
,/answers/:question-id,POST,답변글 등록,postAnswer,답변 게시글 등록,"board_id, user_no, title, content",
,/answers/:question-id,PUT/PATCH,답변글 수정,modifyAnswer,답변 게시글 수정,"title, content",
,/answers/:question-id,DELETE,답변글 삭제,deleteAnswer,답변 게시글 삭제,,
공지사항,/notices,GET,공지사항 목록 ,getNoticeList,공지사항 리스트 반환,,
,/notices,POST,공지사항 등록,postNotice,공지사항 등록,"board_id. user_no, title, content",
,/notices/:notices-id,GET,공지사항 상세 조회,getNoticeById,id값을 통해 단일 공지사항 정보 출력,,
,/notices/:notices-id,PUT/PATCH,공지사항 수정,modifyNotice,공지사항 수정,"board_id. user_no, title, content",
,/notices/:notices-id,DELETE,공지사항 삭제,deleteNotice,공지사항 삭제,,
여행 후기,/reviews,GET,여행 후기 전체 조회,getReviewList,여행 후기 전체 조회,,
,/reviews,POST,여행 후기 등록,postReview,여행 후기 작성,"board_id, user_no, title, content, img(null 가능)",
,/reviews/:review_id,GET,여행 후기 상세 조회,getReviewById,review_id를 통해 여행 후기 상세 조회,,
,/reviews,PUT/PATCH,여행 후기 수정,modifyReview,여행 후기 수정,"board_id, user_no, title, content, img(null 가능)",사진 삭제/수정 시 reviews_photo db에도 적용되어야함
,/reviews,DELETE,여행 후기 삭제,deleteReview,여행 후기 삭제,,사진 삭제/수정 시 reviews_photo db에도 적용되어야함
여행 계획,/plans,GET,여행 계획 전체 조회,getPlanList,여행 계획 전체 조회(여행 계획 게시글 전체),,
,/plans,POST,여행 계획 글 등록,postPlan,여행 계획 글 등록,"board_id, user_no, title, content, attraction_content_id, img(null 가능)",
,/plans/:plans_id,GET,여행 계획 상세 조회,getPlanById,여행 계획 id를 통해 여행 계획 상세 조회,,
,/plans/:plans_id,PUT/PATCH,여행 계획 수정,modifyPlan,여행 계획 수정,"board_id, user_no, title, content, attraction_content_id, img(null 가능)","삭제, 수정시 plans_photo에도 변경사항 적용"
,/plans/:plans_id,DELETE,여행 계획 삭제,deletePlan,여행 계획 삭제,,"삭제, 수정시 plans_photo에도 변경사항 적용"
,/plans/my-plan,GET,내가 작성한 여행 계획 전체 조회,getMyPlans,내가 세운 여행 계획 목록 조회,,
댓글,,,,,,,